Company,Size,CEO,CEO email,Site,LI,Industry,Industry2,Address,City,State,Zip,Added,,,
3 Birds Marketing,100,Kristen Judd,,3birdsmarketing.com,https://www.linkedin.com/company/604745/,,,,,,,2018,,,
6fusion,10-50,John Cowan,,www.6fusion.com,https://www.linkedin.com/company/6fusion-usa,SaaS,,107 Fayettevile St.,Raleigh,NC,27601,2016,,,
Academic Benchmarking Consortium,10-20,Steve Beisser,,abc-insights.com,https://www.linkedin.com/company/9237971/,,,,,,,2018,,,
Active Location,10-50,Devine Delane,,www.activelocation.com,na,AdTech,,310 S Harrington St.,Raleigh,NC,27603,2016,,,
Adwerx,10-50,Jed Carlson,,www.adwerx.com,https://www.linkedin.com/company/adwerx-for-realtors,AdTech,,318 Blackwell St.,Durham,NC,27701,2016,,,
Adzerk,10-50,James Avery,,www.adzerk.com,https://www.linkedin.com/company/adzerk,AdTech,,501 Washington St. ,Durham,NC,27701,2016,,,
Appraisal Nation,50-100,Brian McSheehy,,apprailnation,https://www.linkedin.com/company/2706875/,,,,,,,2018,,,
ArchiveSocial,10-50,Anil Chawla,,www.archivesocial.com,https://www.linkedin.com/company/archivesocial,MarTech,govTech,201 W Main St.,Durham,NC,27701,2016,,,
Arya/Leoforce,50-100,Madhu Mogudu,,goarya.com,https://www.linkedin.com/company/10157515/,,,,,,,2018,,,
Downtown Bee,10-20,Leigh-Kathryn Bonner,,http://www.bee-downtown.com,https://www.linkedin.com/company/bee-downtown/,,,,,,,2019,,,
Boostopia,10-20,Justin Winter,,http://www.boostopia.com,https://www.linkedin.com/company/boostopia.io/,,,,,,,2019,,,
Bright Door,10-50,Michael Worthington,, www.brightdoor.com,https://www.linkedin.com/company/brightdoor-systems-inc.,MarTech,SaaS,1919 Evans Rd.,Cary,NC,27513,2016,,,
Bright Wolf,10-50,David Houghton,,www.bright-wolf.com,https://www.linkedin.com/company/bright-wolf-llc,IoT,,334 Blackwell St.,Durham,NC,27701,2016,,,
Broadvine,50,Shawn Barber,,broadvine.com,https://www.linkedin.com/company/5206420/,,,,,,,2018,,,
Brooks Bell Interactive,10-50,Brooks Bell,,www.brooksbell.com,https://www.linkedin.com/company/brooks-bell,AdTech,,711 Hillsborough St.,Raleigh,NC,27603,2016,,,
Bulk TV and Internet,50-100,Tom Conley,,bulktv.com,https://www.linkedin.com/company/1085637/,,,,,,,2018,,,
CandleScience,10-50,Daniel Swimm,,www.candlescience.com,https://www.linkedin.com/company/candlescience,ecommerce,,1717 E Lawson St.,Durham,NC,27703,2016,,,
Canopy,10-50,Hunt Davis,,www.trycanopy.com,https://www.linkedin.com/company/pack-purchase-inc-,OnDemand,,716 Davidson St,Raleigh,NC,27609,2016,,,
Carpe Lotion,10-20,David Spratte,,http://www.carpelotion.com,https://www.linkedin.com/company/carpe1/about/,,,,,,,2019,,,
CARS/ez-recovery,50,Steve Norwood,,ez-recovery.com,https://www.linkedin.com/company/410966/,,,,,,,2018,,,
Carusele,10-50,Jim Tobin,,www.carusele.com,https://www.linkedin.com/company/carusele,AdTech,,15501 Weston Pkwy,Cary,NC,27513,2016,,,
CloudFactory,10-50,Mark Sears,,www.cloudfactory.com,https://www.linkedin.com/company/cloudfactory-com,devTech,Business Services,3128 Highwoods Blvd,Raleigh,NC,27604,2016,,,
